#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
AC|KBN|40.6236|20.787399|800.0|Korce, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|LSK|40.149899|20.5987|960.0|LSK|2010-01-01T00:00:00|2599-12-31T23:59:59
AC|PHP|41.6847|20.4408|670.0|Peshkopi, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|PUK|42.042599|19.892599|900.0|Puke, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AC|SRN|39.880001|20.0005|20.0|Sarande, Albania|2010-01-01T00:00:00|2599-12-31T23:59:59
AC|VLO|40.468601|19.495501|80.0|Vlore, Albania|2009-12-22T00:00:00|2599-12-31T23:59:59
AE|113A|32.768299|-113.766701|118.0|Mohawk Valley, Roll, AZ, USA|2009-01-28T00:00:00|2599-12-31T23:59:59
AE|319A|31.3757|-109.280899|1187.0|Douglas, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|BABIT|35.745548|-112.422218|1693.6|Valle/Cataract Creek|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|BARN|35.27668|-111.73571|2254.0|Flagstaff|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|DUN6|32.553799|-109.090103|1259.0|Lazy B Ranch|2016-01-01T00:00:00|2599-12-31T23:59:59
AE|HANNA|33.63636|-109.32029|2796.0|Alpine/Hannagan Meadow|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|PRCT|35.055786|-112.710289|1410.0|Prescott|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|TONTO|33.649147|-111.007675|660.6|Roosevelt/Tonto Basin|2017-10-27T00:00:00|2599-12-31T23:59:59
AE|U15A|36.428001|-112.291496|2489.0|North Rim, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|W13A|35.097382|-113.894318|2113.0|Hualapai Mountain Park, Kingman, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|X16A|34.417801|-111.441101|1759.4|Lo Mia Camp, Pine, AZ, USA|2009-02-04T00:00:00|2599-12-31T23:59:59
AE|X18A|34.529301|-109.950104|1751.0|Snowflake, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AE|Y14A|33.938301|-113.004799|730.7|Wickenburg, AZ, USA|2011-12-01T00:00:00|2599-12-31T23:59:59
AF|ALKP|-29.941839|22.24667|1065.0|Alkantpan, Northen Cape, South Africa|2018-09-07T00:00:00|2599-12-31T23:59:59
AF|GRHM|-33.276688|26.376724|610.0|Grahamstown, Eastern Cape, South Africa|2016-06-20T00:00:00|2599-12-31T23:59:59
AF|WIN|-22.5667|17.1|1728.0|Windhoek, Namibia|2004-09-01T00:00:00|2599-12-31T23:59:59
AF|ZOMB|-15.3833|35.349998|885.0|Zomba, Malawi|2006-06-01T00:00:00|2599-12-31T23:59:59
AG|CCAR|33.917|-91.772|72.0|Cane Creek, AR|2010-02-24T00:00:00|2599-12-31T23:59:59
AG|FCAR|35.89|-92.124|190.0|Ozark Folk Center,AR|2010-02-16T00:00:00|2599-12-31T23:59:59
AG|HHAR|36.282|-93.94|421.0|Hobbs,AR|2010-03-03T00:00:00|2599-12-31T23:59:59
AG|LCAR|36.07|-91.154|103.0|Lake Charles,AR|2010-02-10T00:00:00|2599-12-31T23:59:59
AG|WHAR|35.29|-92.289|184.0|Woolly Hollow State Park,AR|2010-02-15T00:00:00|2599-12-31T23:59:59
AG|WLAR|33.688|-93.112|77.0|White Oak Lake,AR|2010-02-23T00:00:00|2599-12-31T23:59:59
AG|X40A|34.4873|-92.8342|158.0|Basin Creek Farm, Marlvern, AR|2016-06-22T17:00:00|2599-12-31T23:59:59
AG|Z41A|33.2577|-92.803|62.0|Richland Creek Farm, El Dorado, AR|2016-08-10T17:00:00|2599-12-31T23:59:59
AI|BELA|-77.875|-34.6269|262.0|BELGRANO II Permanent Argentinean Antarctic Base|2009-01-16T00:00:00|2599-12-31T23:59:59
